[2026-05-02T14:02:58.542820917Z]   Focal: 1000/35549
[2026-05-02T14:07:22.525721445Z]   Focal: 2000/35549
[2026-05-02T14:11:37.526477208Z]   Focal: 3000/35549
[2026-05-02T14:15:45.526748185Z]   Focal: 4000/35549
[2026-05-02T14:20:02.526942422Z]   Focal: 5000/35549
[2026-05-02T14:23:59.526420012Z]   Focal: 6000/35549
[2026-05-02T14:28:17.526431808Z]   Focal: 7000/35549
[2026-05-02T14:33:02.526786021Z]   Focal: 8000/35549
[2026-05-02T14:37:27.526229904Z]   Focal: 9000/35549
[2026-05-02T14:41:41.526492605Z]   Focal: 10000/35549
[2026-05-02T14:45:30.525923007Z]   Focal: 11000/35549
[2026-05-02T14:49:35.526438761Z]   Focal: 12000/35549
[2026-05-02T14:53:06.526140219Z]   Focal: 13000/35549
[2026-05-02T14:56:48.525848405Z]   Focal: 14000/35549
[2026-05-02T15:00:28.526263122Z]   Focal: 15000/35549
[2026-05-02T15:04:10.542781773Z]   Focal: 16000/35549
[2026-05-02T15:08:28.526241847Z]   Focal: 17000/35549
[2026-05-02T15:12:45.526033051Z]   Focal: 18000/35549
[2026-05-02T15:17:15.525872399Z]   Focal: 19000/35549
[2026-05-02T15:21:47.526778276Z]   Focal: 20000/35549
[2026-05-02T15:26:08.526555286Z]   Focal: 21000/35549
[2026-05-02T15:30:30.525492137Z]   Focal: 22000/35549
[2026-05-02T15:34:51.526568308Z]   Focal: 23000/35549
[2026-05-02T15:39:21.526139315Z]   Focal: 24000/35549
[2026-05-02T15:43:42.525963410Z]   Focal: 25000/35549
[2026-05-02T15:47:56.526781159Z]   Focal: 26000/35549
[2026-05-02T15:52:17.526783684Z]   Focal: 27000/35549
[2026-05-02T15:56:29.526639181Z]   Focal: 28000/35549
[2026-05-02T16:00:46.525924059Z]   Focal: 29000/35549
[2026-05-02T16:05:07.539194845Z]   Focal: 30000/35549
[2026-05-02T16:09:32.526732946Z]   Focal: 31000/35549
[2026-05-02T16:13:51.526014379Z]   Focal: 32000/35549
[2026-05-02T16:18:25.526237797Z]   Focal: 33000/35549
[2026-05-02T16:22:50.526249978Z]   Focal: 34000/35549
[2026-05-02T16:26:54.525669095Z]   Focal: 35000/35549
[2026-05-02T16:29:17.526908745Z] Focal done. Output: data/precomputed/focal
